Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 776,Ordinary 3+2 Non AC Seater,1.7,15:24,23:30,08h 06m,"37 Seats available
13 Window",INR 565
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 801,Ordinary 3+2 Non AC Seater,3.9,15:45,00:15,08h 30m,"37 Seats available
13 Window",INR 549
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 11,Himsuta AC Seater Volvo/Scania 2+2,3.9,16:00,00:01,08h 01m,"35 Seats available
17 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 754,Ordinary 3+2 Non AC Seater,3.9,16:15,03:00,10h 45m,"37 Seats available
13 Window",INR 544
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 49,Himsuta AC Seater Volvo/Scania 2+2,3.6,16:30,02:00,09h 30m,"35 Seats available
17 Window",INR 938
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 788,Ordinary 3+2 Non AC Seater,3.9,16:40,03:30,10h 50m,"33 Seats available
12 Window",INR 545
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 736,Himsuta AC Seater Volvo/Scania 2+2,5.0,17:00,01:00,08h 00m,"22 Seats available
10 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 705,Himsuta AC Seater Volvo/Scania 2+2,3.9,18:00,02:00,08h 00m,"18 Seats available
7 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 712,Ordinary 3+2 Non AC Seater,3.9,18:30,05:05,10h 35m,"37 Seats available
13 Window",INR 563
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 214001,Himsuta AC Seater Volvo/Scania 2+2,3.9,19:00,02:20,07h 20m,"32 Seats available
14 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 759,Himsuta AC Seater Volvo/Scania 2+2,3.9,20:00,04:10,08h 10m,"34 Seats available
16 Window",INR 938
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 803,Ordinary 3+2 Non AC Seater,3.0,20:30,06:00,09h 30m,"37 Seats available
13 Window",INR 549
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,3.1,21:00,04:20,07h 20m,"34 Seats available
16 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 701,Ordinary 3+2 Non AC Seater,3.9,21:30,05:30,08h 00m,"37 Seats available
13 Window",INR 560
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,HRTC - 713,Himsuta AC Seater Volvo/Scania 2+2,3.4,22:00,06:00,08h 00m,"30 Seats available
13 Window",INR 920
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),4.6,16:00,23:00,07h 00m,27 Seats available,569
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),4.5,22:00,03:30,05h 30m,8 Seats available,854
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4.6,16:15,23:15,07h 00m,"17 Seats available
7 Window",717
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),4.4,17:30,23:55,06h 25m,"36 Seats available
15 Window",569
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),4.3,21:30,03:15,05h 45m,17 Seats available,854
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4.6,21:30,03:50,06h 20m,"31 Seats available
14 Window",761
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),4.7,18:00,00:30,06h 30m,8 Seats available,664
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),4.6,20:00,02:30,06h 30m,15 Seats available,694
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),4.7,21:40,03:30,05h 50m,"33 Seats available
16 Window",854
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,City Land Travels,Volvo A/C Semi Sleeper (2+2),3.8,11:30,18:20,06h 50m,"20 Seats available
9 Window",709
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Yolo Bus,Volvo 9600 A/C Semi Sleeper (2+2),4.3,21:10,02:55,05h 45m,"9 Seats available
3 Window",INR 680
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Scania A/C Semi Sleeper (2+2),4.7,19:30,01:45,06h 15m,"28 Seats available
12 Window",604
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),4.9,18:15,01:10,06h 55m,"21 Seats available
10 Window",INR 610
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4.0,17:45,00:40,06h 55m,"30 Seats available
14 Window",704
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Ram Dalal Holidays,Volvo 9600 A/C Semi Sleeper (2+2),5.0,19:00,01:25,06h 25m,"28 Seats available
14 Window",740
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),3.8,19:05,01:55,06h 50m,"29 Seats available
11 Window",634
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),5.0,19:30,02:05,06h 35m,"27 Seats available
12 Window",INR 1021
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,City Land Travels,Volvo A/C Semi Sleeper (2+2),2.5,22:35,05:00,06h 25m,"34 Seats available
16 Window",709
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),3.0,17:00,00:05,07h 05m,"35 Seats available
17 Window",INR 594
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Abtc Tour and Travels,Bharat Benz A/C Semi Sleeper (2+2),2.4,21:00,05:00,08h 00m,"28 Seats available
13 Window",600
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Deltin Travels,Volvo 9600 A/C Semi Sleeper (2+2),1.7,20:30,02:00,05h 30m,"42 Seats available
20 Window",INR 760
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,VT Bus,Scania A/C Semi Sleeper (2+2),4.4,17:30,00:15,06h 45m,40 Seats available,INR 990
Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh,R S YADAV SMART BUS PRIVATE LIMITED,Volvo 9600 A/C Semi Sleeper (2+2),4.2,17:50,02:45,08h 55m,35 Seats available,1899
